학원명,주소,교습과정,지역,clean_addr,location,lat,lon
오아플러스학원,"인천광역시 연수구 랜드마크로 68 , 276호, 277호(송도동,랜드마크시티센트럴더샵)",보통교과,연수구 (1),인천광역시 연수구 랜드마크로 68,"68, 랜드마크로, 송도5동, 연수구, 인천광역시, 22018, 대한민국",37.4148762,126.6196997
오아플러스학원,"인천광역시 연수구 랜드마크로 68 , 276호, 277호(송도동,랜드마크시티센트럴더샵)",보통교과,연수구 (1),인천광역시 연수구 랜드마크로 68,"68, 랜드마크로, 송도5동, 연수구, 인천광역시, 22018, 대한민국",37.4148762,126.6196997
오아플러스학원,"인천광역시 연수구 랜드마크로 68 , 276호, 277호(송도동,랜드마크시티센트럴더샵)",보통교과,연수구 (1),인천광역시 연수구 랜드마크로 68,"68, 랜드마크로, 송도5동, 연수구, 인천광역시, 22018, 대한민국",37.4148762,126.6196997
오아플러스학원,"인천광역시 연수구 랜드마크로 68 , 276호, 277호(송도동,랜드마크시티센트럴더샵)",보통교과,연수구 (1),인천광역시 연수구 랜드마크로 68,"68, 랜드마크로, 송도5동, 연수구, 인천광역시, 22018, 대한민국",37.4148762,126.6196997
오아플러스학원,"인천광역시 연수구 랜드마크로 68 , 276호, 277호(송도동,랜드마크시티센트럴더샵)",보통교과,연수구 (1),인천광역시 연수구 랜드마크로 68,"68, 랜드마크로, 송도5동, 연수구, 인천광역시, 22018, 대한민국",37.4148762,126.6196997
오아플러스학원,"인천광역시 연수구 랜드마크로 68 , 276호, 277호(송도동,랜드마크시티센트럴더샵)",보통교과,연수구 (1),인천광역시 연수구 랜드마크로 68,"68, 랜드마크로, 송도5동, 연수구, 인천광역시, 22018, 대한민국",37.4148762,126.6196997
오아플러스학원,"인천광역시 연수구 랜드마크로 68 , 276호, 277호(송도동,랜드마크시티센트럴더샵)",보통교과,연수구 (1),인천광역시 연수구 랜드마크로 68,"68, 랜드마크로, 송도5동, 연수구, 인천광역시, 22018, 대한민국",37.4148762,126.6196997
오아플러스학원,"인천광역시 연수구 랜드마크로 68 , 276호, 277호(송도동,랜드마크시티센트럴더샵)",보통교과,연수구 (1),인천광역시 연수구 랜드마크로 68,"68, 랜드마크로, 송도5동, 연수구, 인천광역시, 22018, 대한민국",37.4148762,126.6196997
오아플러스학원,"인천광역시 연수구 랜드마크로 68 , 276호, 277호(송도동,랜드마크시티센트럴더샵)",보통교과,연수구 (1),인천광역시 연수구 랜드마크로 68,"68, 랜드마크로, 송도5동, 연수구, 인천광역시, 22018, 대한민국",37.4148762,126.6196997
오아플러스학원,"인천광역시 연수구 랜드마크로 68 , 276호, 277호(송도동,랜드마크시티센트럴더샵)",보통교과,연수구 (1),인천광역시 연수구 랜드마크로 68,"68, 랜드마크로, 송도5동, 연수구, 인천광역시, 22018, 대한민국",37.4148762,126.6196997
오아플러스학원,"인천광역시 연수구 랜드마크로 68 , 276호, 277호(송도동,랜드마크시티센트럴더샵)",보통교과,연수구 (1),인천광역시 연수구 랜드마크로 68,"68, 랜드마크로, 송도5동, 연수구, 인천광역시, 22018, 대한민국",37.4148762,126.6196997
오아플러스학원,"인천광역시 연수구 랜드마크로 68 , 276호, 277호(송도동,랜드마크시티센트럴더샵)",보통교과,연수구 (1),인천광역시 연수구 랜드마크로 68,"68, 랜드마크로, 송도5동, 연수구, 인천광역시, 22018, 대한민국",37.4148762,126.6196997
오아플러스학원,"인천광역시 연수구 랜드마크로 68 , 276호, 277호(송도동,랜드마크시티센트럴더샵)",보통교과,연수구 (1),인천광역시 연수구 랜드마크로 68,"68, 랜드마크로, 송도5동, 연수구, 인천광역시, 22018, 대한민국",37.4148762,126.6196997
오아플러스학원,"인천광역시 연수구 랜드마크로 68 , 276호, 277호(송도동,랜드마크시티센트럴더샵)",보통교과,연수구 (1),인천광역시 연수구 랜드마크로 68,"68, 랜드마크로, 송도5동, 연수구, 인천광역시, 22018, 대한민국",37.4148762,126.6196997
오아플러스학원,"인천광역시 연수구 랜드마크로 68 , 276호, 277호(송도동,랜드마크시티센트럴더샵)",보통교과,연수구 (1),인천광역시 연수구 랜드마크로 68,"68, 랜드마크로, 송도5동, 연수구, 인천광역시, 22018, 대한민국",37.4148762,126.6196997
오아플러스학원,"인천광역시 연수구 랜드마크로 68 , 276호, 277호(송도동,랜드마크시티센트럴더샵)",보통교과,연수구 (1),인천광역시 연수구 랜드마크로 68,"68, 랜드마크로, 송도5동, 연수구, 인천광역시, 22018, 대한민국",37.4148762,126.6196997
오피아어학원,"인천광역시 연수구 인천타워대로132번길 30 , 603호 (송도동, 휴먼빌파크)",국제,연수구 (1),인천광역시 연수구 인천타워대로132번길 30,"인천타워대로132번길, 송도동, 송도1동, 연수구, 인천광역시, 22000, 대한민국",37.3854764,126.6425822
오피아어학원,"인천광역시 연수구 인천타워대로132번길 30 , 603호 (송도동, 휴먼빌파크)",국제,연수구 (1),인천광역시 연수구 인천타워대로132번길 30,"인천타워대로132번길, 송도동, 송도1동, 연수구, 인천광역시, 22000, 대한민국",37.3854764,126.6425822
오피아어학원,"인천광역시 연수구 인천타워대로132번길 30 , 603호 (송도동, 휴먼빌파크)",국제,연수구 (1),인천광역시 연수구 인천타워대로132번길 30,"인천타워대로132번길, 송도동, 송도1동, 연수구, 인천광역시, 22000, 대한민국",37.3854764,126.6425822
