정류장명,정류장 번호,승차인원수,하차인원수,승차인원수(카드),하차인원수(카드),승차인원수(현금),일평균 승하차인원수
태평아파트.주안한신휴플러스아파트,37180,2924,4413,2924,4413,0,244.57
태평아파트.주안한신휴플러스아파트,37183,1664,2270,1664,2270,0,131.13
태평아파트1차(A),42326,4683,14612,4683,14612,0,643.17
태평아파트1차(B),42325,13770,4795,13770,4795,0,618.83
태평아파트2차(A),42317,3075,3817,3075,3817,0,229.73
태평아파트2차(B),42318,6865,3677,6865,3677,0,351.4
태평아파트입구,39274,142,1470,142,1470,0,53.73
태평아파트입구,39276,591,268,591,268,0,28.63
태평양산업,39066,2846,593,2846,593,0,114.63
태평양인천물류센터,42012,1387,2006,1387,2006,0,113.1
태화.두진아파트,39441,8101,6680,8101,6680,0,492.7
태화두진아파트,39445,6827,7603,6827,7603,0,481
태화아파트,37413,4131,4235,4131,4235,0,278.87
태화아파트,37416,5826,4369,5826,4369,0,339.83
태화아파트,40545,9388,4813,9388,4813,0,473.37
태화아파트,40810,2146,59,2146,59,0,73.5
태화아파트,42123,2779,11023,2779,11023,0,460.07
태화아파트,42124,11405,5643,11405,5643,0,568.27
태화한진아파트,41132,4619,2646,4619,2646,0,242.17
태화한진아파트612동,41135,1388,3587,1388,3587,0,165.83
택리,43233,12,3,12,3,0,0.5
택리,43859,10,38,10,38,0,1.6
택리교회,43229,18,78,18,78,0,3.2
택리교회,43860,112,9,112,9,0,4.03
테니스장,40456,274,401,274,401,0,22.5
테일코리아,89430,549,79,549,79,0,20.93
테일코리아,89431,744,680,744,680,0,47.47
테크노파크IT센타,39726,920,3264,920,3264,0,139.47
테크노파크IT센타,39727,3855,2311,3855,2311,0,205.53
테크노파크IT센터,39938,3661,6502,3661,6502,0,338.77
테크노파크역,38421,39966,24974,39966,24974,0,2164.67
테크노파크역,38422,38242,32698,38242,32698,0,2364.67
토지금고,37114,8639,2631,8639,2631,0,375.67
토지금고,37115,3906,12504,3906,12504,0,547
토지금고시장,37102,18149,12737,18149,12737,0,1029.53
토지금고시장앞,37509,11046,13042,11046,13042,0,802.93
통진성당,80137,1140,265,1140,265,0,46.83
통진성당,80138,219,1075,219,1075,0,43.13
통진중고등학교,35073,5365,633,5365,633,0,199.93
통진중고등학교,35074,642,5091,642,5091,0,191.1
트러스(서구장애인직업재활시설),42809,564,2,564,2,0,18.87
트러스(서구장애인직업재활시설),42810,0,311,0,311,0,10.37
트레지움1단지.다니엘병원,55076,2299,1016,2299,1016,0,110.5
트레지움1단지.다니엘병원,55077,844,1831,844,1831,0,89.17
