운행일자,정산사업자,정류장아이디,교통수단구분,정류장명,시도코드(법정동),시도명(법정동),시군구코드(법정동),시군구명(법정동),읍면동코드(법정동),읍면동명(법정동),모바일아이디
2025-06-13,마이비,4365861,버스,효성아파트,43,충청북도,43113,청주시 흥덕구,4311313800,비하동,정보없음
2025-06-13,마이비,4365871,버스,부모산_연화사입구,43,충청북도,43113,청주시 흥덕구,4311313800,비하동,정보없음
2025-06-13,마이비,4365881,버스,비하새동네_영조1차아파트,43,충청북도,43113,청주시 흥덕구,4311311400,복대동,정보없음
2025-06-13,마이비,4365891,버스,미평사거리_궁뜰로,43,충청북도,43112,청주시 서원구,4311210500,미평동,정보없음
2025-06-13,마이비,4365901,버스,청주교도소,43,충청북도,43112,청주시 서원구,4311210500,미평동,정보없음
2025-06-13,마이비,4365911,버스,국사1리,43,충청북도,43113,청주시 흥덕구,4311332035,옥산면,정보없음
2025-06-13,마이비,4365921,버스,가마육교,43,충청북도,43112,청주시 서원구,4311231038,남이면,정보없음
2025-06-13,마이비,4365931,버스,양촌2리,43,충청북도,43112,청주시 서원구,4311231037,남이면,정보없음
2025-06-13,마이비,4365941,버스,양촌1리,43,충청북도,43112,청주시 서원구,4311231037,남이면,정보없음
2025-06-13,마이비,4365951,버스,양촌리,43,충청북도,43112,청주시 서원구,4311231037,남이면,정보없음
2025-06-13,마이비,4365961,버스,가좌리,43,충청북도,43112,청주시 서원구,4311231036,남이면,정보없음
2025-06-13,마이비,4365971,버스,남이초등학교,43,충청북도,43112,청주시 서원구,4311231035,남이면,정보없음
2025-06-13,마이비,4365981,버스,목령산체육공원,43,충청북도,43114,청주시 청원구,4311425329,오창읍,정보없음
2025-06-13,마이비,4365991,버스,수대리,43,충청북도,43112,청주시 서원구,4311231039,남이면,정보없음
2025-06-13,마이비,4366001,버스,목령산체육공원,43,충청북도,43114,청주시 청원구,4311425329,오창읍,정보없음
2025-06-13,마이비,4366011,버스,척산3리,43,충청북도,43112,청주시 서원구,4311231021,남이면,정보없음
2025-06-13,마이비,4366021,버스,척산1리,43,충청북도,43112,청주시 서원구,4311231021,남이면,정보없음
2025-06-13,마이비,4366031,버스,남이면행정복지센터,43,충청북도,43112,청주시 서원구,4311231022,남이면,정보없음
2025-06-13,마이비,4366041,버스,양지리,43,충청북도,43114,청주시 청원구,4311425332,오창읍,정보없음
2025-06-13,마이비,4366051,버스,남이외천삼거리_외천3리,43,충청북도,43112,청주시 서원구,4311231022,남이면,정보없음
2025-06-13,마이비,4366061,버스,외천2리,43,충청북도,43112,청주시 서원구,4311231022,남이면,정보없음
2025-06-13,마이비,4366071,버스,부용외천3리_양지말,43,충청북도,43112,청주시 서원구,4311231040,남이면,정보없음
2025-06-13,마이비,4366081,버스,부용외천2리_황뜸,43,충청북도,43112,청주시 서원구,4311231040,남이면,정보없음
2025-06-13,마이비,4366091,버스,동평3리,43,충청북도,43113,청주시 흥덕구,4311325030,오송읍,정보없음
2025-06-13,마이비,4366101,버스,부용외천2리_창말,43,충청북도,43112,청주시 서원구,4311231040,남이면,정보없음
2025-06-13,마이비,4366111,버스,우록2리_청원가구마을,43,충청북도,43112,청주시 서원구,4311232024,현도면,정보없음
2025-06-13,마이비,4366121,버스,죽암_청주IT과학고,43,충청북도,43112,청주시 서원구,4311232034,현도면,정보없음
2025-06-13,마이비,4366131,버스,부용외천리,43,충청북도,43112,청주시 서원구,4311231040,남이면,정보없음
2025-06-13,마이비,4366151,버스,부용외천2리,43,충청북도,43112,청주시 서원구,4311231040,남이면,정보없음
